Total A and B	2010 week:Ê1	2010 week:Ê2	2010 week:Ê3	2010 week:Ê4	2010 week:Ê5	2010 week:Ê6	2010 week:Ê7	2010 week:Ê8	2010 week:Ê9	2010 week:Ê10	2010 week:Ê11	2010 week:Ê12	2010 week:Ê13	2010 week:Ê14	2010 week:Ê15	2010 week:Ê16	2010 week:Ê17	2010 week:Ê18	2010 week:Ê19	2010 week:Ê20	2010 week:Ê21	2010 week:Ê22	2010 week:Ê23	2010 week:Ê24	2010 week:Ê25	2010 week:Ê26	2010 week:Ê27	2010 week:Ê28	2010 week:Ê29	2010 week:Ê30	2010 week:Ê31	2010 week:Ê32	2010 week:Ê33	2010 week:Ê34	2010 week:Ê35	2010 week:Ê36	2010 week:Ê37	2010 week:Ê38	2010 week:Ê39	2010 week:Ê40	2010 week:Ê41	2010 week:Ê42	2010 week:Ê43	2010 week:Ê44	2010 week:Ê45	2010 week:Ê46	2010 week:Ê47	2010 week:Ê48	2010 week:Ê49	2010 week:Ê50	2010 week:Ê51	2010 week:Ê52	2011 week:Ê1	2011 week:Ê2	2011 week:Ê3	2011 week:Ê4	2011 week:Ê5	2011 week:Ê6	2011 week:Ê7	2011 week:Ê8	2011 week:Ê9	2011 week:Ê10	2011 week:Ê11	2011 week:Ê12	2011 week:Ê13	2011 week:Ê14	2011 week:Ê15	2011 week:Ê16	2011 week:Ê17	2011 week:Ê18	2011 week:Ê19	2011 week:Ê20	2011 week:Ê21	2011 week:Ê22	2011 week:Ê23	2011 week:Ê24	2011 week:Ê25	2011 week:Ê26	2011 week:Ê27	2011 week:Ê28	2011 week:Ê29	2011 week:Ê30	2011 week:Ê31	2011 week:Ê32	2011 week:Ê33	2011 week:Ê34	2011 week:Ê35	2011 week:Ê36	2011 week:Ê37	2011 week:Ê38	2011 week:Ê39	2011 week:Ê40	2011 week:Ê41	2011 week:Ê42	2011 week:Ê43	2011 week:Ê44	2011 week:Ê45	2011 week:Ê46	2011 week:Ê47	2011 week:Ê48	2011 week:Ê49	2011 week:Ê50	2011 week:Ê51	2011 week:Ê52	2012 week:Ê1	2012 week:Ê2	2012 week:Ê3	2012 week:Ê4	2012 week:Ê5	2012 week:Ê6	2012 week:Ê7	2012 week:Ê8	2012 week:Ê9	2012 week:Ê10	2012 week:Ê11	2012 week:Ê12	2012 week:Ê13	2012 week:Ê14	2012 week:Ê15	2012 week:Ê16	2012 week:Ê17	2012 week:Ê18	2012 week:Ê19	2012 week:Ê20	2012 week:Ê21	2012 week:Ê22	2012 week:Ê23	2012 week:Ê24	2012 week:Ê25	2012 week:Ê26	2012 week:Ê27	2012 week:Ê28	2012 week:Ê29	2012 week:Ê30	2012 week:Ê31	2012 week:Ê32	2012 week:Ê33	2012 week:Ê34	2012 week:Ê35	2012 week:Ê36	2012 week:Ê37	2012 week:Ê38	2012 week:Ê39	2012 week:Ê40	2012 week:Ê41	2012 week:Ê42	2012 week:Ê43	2012 week:Ê44	2012 week:Ê45	2012 week:Ê46	2012 week:Ê47	2012 week:Ê48	2012 week:Ê49	2012 week:Ê50	2012 week:Ê51	2012 week:Ê52	2013 week:Ê1	2013 week:Ê2	2013 week:Ê3	2013 week:Ê4	2013 week:Ê5	2013 week:Ê6	2013 week:Ê7	2013 week:Ê8	2013 week:Ê9	2013 week:Ê10	2013 week:Ê11	2013 week:Ê12	2013 week:Ê13	2013 week:Ê14	2013 week:Ê15	2013 week:Ê16	2013 week:Ê17	2013 week:Ê18	2013 week:Ê19	2013 week:Ê20	2013 week:Ê21	2013 week:Ê22	2013 week:Ê23	2013 week:Ê24	2013 week:Ê25	2013 week:Ê26	2013 week:Ê27	2013 week:Ê28	2013 week:Ê29	2013 week:Ê30	2013 week:Ê31	2013 week:Ê32	2013 week:Ê33	2013 week:Ê34	2013 week:Ê35	2013 week:Ê36	2013 week:Ê37	2013 week:Ê38	2013 week:Ê39	2013 week:Ê40	2013 week:Ê41	2013 week:Ê42	2013 week:Ê43	2013 week:Ê44	2013 week:Ê45	2013 week:Ê46	2013 week:Ê47	2013 week:Ê48	2013 week:Ê49	2013 week:Ê50	2013 week:Ê51	2013 week:Ê52	2014 week:Ê1	2014 week:Ê2	2014 week:Ê3	2014 week:Ê4	2014 week:Ê5	2014 week:Ê6	2014 week:Ê7	2014 week:Ê8	2014 week:Ê9	2014 week:Ê10	2014 week:Ê11	2014 week:Ê12	2014 week:Ê13	2014 week:Ê14	2014 week:Ê15	2014 week:Ê16	2014 week:Ê17	2014 week:Ê18	2014 week:Ê19	2014 week:Ê20	2014 week:Ê21	2014 week:Ê22	2014 week:Ê23	2014 week:Ê24	2014 week:Ê25	2014 week:Ê26	2014 week:Ê27	2014 week:Ê28	2014 week:Ê29	2014 week:Ê30	2014 week:Ê31	2014 week:Ê32	2014 week:Ê33	2014 week:Ê34	2014 week:Ê35	2014 week:Ê36	2014 week:Ê37	2014 week:Ê38	2014 week:Ê39	2014 week:Ê40	2014 week:Ê41	2014 week:Ê42	2014 week:Ê43	2014 week:Ê44	2014 week:Ê45	2014 week:Ê46	2014 week:Ê47	2014 week:Ê48	2014 week:Ê49	2014 week:Ê50	2014 week:Ê51	2014 week:Ê52
Lithuania																																			0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	7	16	55	112	114	122	76	37	36	31	19	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	4	1	3	15	13	10	18	11	4	0	2	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	20	58	131	152	105	49	32	41	30	21	27	21	14	14	10	4	4	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	5	6	5	28	22	13	25	19	15	7	2	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Luxembourg	12								0	1	1	2	0		2	0	1	0	1																				0	0	0	0	0	0	0	1	0	1	2	8	6	18	34	113	91	93	112	91	43	20	22	8	3	1	1	0	0	0	0	0																						0	0	0	0	0	0	0	0	0	0	1	0	0	1	4	0	1	3	59	15	24	32	24	37	21	9	8	6	1	1	0	1	0																				0	0	0	0	0	0	1	0	0	3	8	19	6	10	21	26	49	71		30	51	47	22	18	13	1	1	5	0	1	0	0	0																				0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	12	17	12	10	13	10	16	15	9	3	5	1	0	1	0	0	0																				0	0	0	0	0	0	0	1	0	4	2		
Madagascar	19	21	17	10	4	4	15	8	4	2	5	0	13	6	3	3	1	2	0	0	2	3	7	13	6	2	1	1	0	2	3	1	6	7	8	3	5	10	8	2	3	5	3	11	4	8	14	9	15	11	11	15	9	13	24	53	46	31	11	26	12	20	23	28	8	18	7	9	13	6	8	15	18	6	11	10	12	19	20	18	12	6	8	5	3	1	1	2	2	5	1	1	0	1	0	0	0	0	0	1	0	0	0	0	4	5	0	9	10	9	17	11	5	8	11	11	17	12	7	17	11	5	8	31	33	10	12	27	27	18	30	10	14	12	5	5	4	3	6	7	0	1	2	0	4	9	12	3	14	15	10	12	1	7	2	4	6	6	6	2	3	8	10	10	11	3	9	12	15	26	37	15	36	30	31	22	41	25	28	8	19	21	13	8	6	12	6	8	7	6	2	6	0	1	0	1	1	1	2	2	0	0	0	0	0	3	1		3	22	22	19	24	29	37	38	20	15	6	17	4	10	1	0	0	0	2	6	4	0	1	0	8	4	5	12	4	7	12	25	8	13	11	4	16	17	22	38	32	17	38	16	14	11	35	23	15	20	4	
Malaysia	2	6	4	0	6	2	2	3	3	4	2	6	15	22	30	17	10	10	10	13	11	5	2	1	1	5	4	5	3	5	4	7	4	6	11	0	4	6	5	1	6	2	1	2	1	2	3	3	2	30	14	6	7	6	6	6	4	1	1	4	1	0	3	3	2	0	0	2	0	1	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	4	2	0	0	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	2	2	2	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	2	0	0	1	6	2	0	0	1	0	1	0	2	3	0	0	2	1	1	2	1	1	2	1	1	0	1	0	0	2	0	0	0	1	3	2	0	2	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	3	2	4	1	6	2	0	1	0	2	7	7	3	2	1	0	0	1	0	0	1	2	0	1																																			
Mali	1	4	5	5	9	7	11	2	2	1	2	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	2	0	3	1	8	5	18	13	11	10	4	0	3	3	3	2	2	4	4	2	3	7	17	7	17	14	4	7	5	7	0	1	0	2	1	1	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0																				0	0	0	0	0	1	2	2	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	7	0	9	9	2	5	1	0	0	1	0	0	0	0	0	0	1	4	1	0	0	4	2	3	7	4	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	12	6	8	5	2	1	0	1	0	1	0	0	0	0		0	0																																																		
Malta	0	0	0		0		0	0																																										2	13	28	13	17	6	10	7	12	2	4	1	1	3	3	0	0	0	0	0	0																						0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0																																	2	0		0	5			5	6	2	16	16	8	5	24	25	45	70	46	13	5	24	4	9	0	0	8	11	0	1	0	2	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	3	2	8	4	9	2	3	4	0	1	3	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	1		
Martinique																										7				2	3	2	4	1	0	0	0	1	0	1	0	0	0	0	0	0	0	8	0	5	0	10	9	0	7	0	15	0	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0		0	1	0	1	3	3	3	2	1		1	0	1	1				1			1																												1	1	3	2	2	5	7	8	3	5	1	2	3	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	2	2	3	4	5	1	0	0	0	0	0	0	0	0	1	2	1	0	2	2	2	1	2	7	6	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mauritania	0	11	13	0																																						0	0																																																																																																																																																																																																																									
Mauritius																												134	17		14			0			0	1					1							0			1	0	0	0	0	0	0	0	0	0	1	3	4	5	0	0	0	0	0	0	0	0	2	3	4	1	1	4	0	4	2	3	1	1	3	1	0	1	1	2	0	0	0	0	1	1							0	0	0	0	0	1	1	1	1	1	1	0	2	1	0	2	0	1	0	3	4	2	6	2	4	2	2	1	2	7	2	2	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	2	4	2	9	6	3	4	4	3	8	5	7	3	3	5	2	5	4	5	6	5	4	11	4	1	2	3	0	4	5	4	2	0	1	0	2	15	4	0	0	0	0	1	0	0	0	1	0	1	1	0	4	7	28	23	21																																									
Mexico	289	236	278	237	258	243	242	253	288	231	151	111	54	37	38	23	16	19	7	14	24	14	9	12	17	10	4	7	10	29	77	70	108	233	302	238	125	166	131	177	184	142	109	128	148	263	292	268	317	274	198	141	92	79	59	46	25	34	27	17	33	15	20	34	68	23	20	8	4	0	3	2	2	1	5	3	0	0	2	0	0	1	1	0	0	1	1	1	0	7	0	1	0	3	3	4	5	7	5	7	27	71	76	177	270	536	705	899	805	687	371	264	150	81	36	26	13	6	5	2	5	13	8	3	4	2	7	5	2	2	4	3	2	2	5	5	4	3	7	8	10	17	16	31	32	41	73	71	95	65	55	73	124	113	64	78	79	123	171	224	180	140	125	111	119	150	100	48	21	23	21	15	18	16	11	7	9	5	13	12	24	18	42	30	29	24	18	25	39	24	24	24	25	45	55	60	40	28	31	32	53	35	90	84	117	180	286	327	462	1225	870	828	665	542	403	253	188	129	108	87	48	47	32	25	15	18	8	25	20	14	18	14	14	19	22	22	24	11	22	22	15	42	23	46	31	49	66	64	66	60	54	61	57	46	71	20				
Mongolia	8	23	26	28	37	43	39	116	86	64	41	17	33	4	2	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	9	10	15	37	73	70	46	29	16	25	47	26	7	14	13	6	17	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	5	4	10	25	48	15	52	41	86	36	46	24	19	14	5	2	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	6	10	4	3	0	3	6	11	16	3	11	25	57	90	95	5	46	25	6	8	17	5	3	3	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	6	10	40	39	84	71	78	74	62	65	25	40	30	16	14	9	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2
Morocco	128	53	11	7																																		0	2	0	0	0	0	0	1	0	2	1	5	7	12	34	31	43	53	41	13	22	6	18	14	4	2	2	0	0	0	0	0	0	0																	0	0	0	0	1	0	1	1	0	0	1	2	4	6	24	25	44	29	33	38	16	6	4	6	2	2	3	1	0	0	1	0	0	0																					0	0	2	0	2	0	1	1	3	2	6	10	19	0	7	8	4	14	6	6	4	22	12	12	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0				0	1	2	0		2		0	0	3	0	0	0	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	1	0	1	1	8	1	4	7	0	0		
Mozambique	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								0	0	0	0	0	0	0																																																																																																									3	0	1	1	1	4	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1					
Nepal																																																																													4		0	0													4	11	1	0		2	1	0	16	2	2	6	12	12	7	12	10	14	18	10	4	6	3	3	1	2	0	3	2	0	0	1	1	1	1	1	0	2	1	1	3	11	14	15	48	71	79	131	171	82	144	112	19	12	0	3	3	0	0	0	0	0	1	0	3	1	1	1	2	6	6	6	15	5	5	7	3	1	1	2	1	5	2	2	1	5	8	11	48	53	83	65	69	55	53	58	21	21	5	1	2	2	0	0	0	0	0	0	0	0	1	1	0	1	1	1	5	0	4	3	12	1	3	14	15	20	33	29	36	47	47	22	13	19	10	12	4	8	5	6	6	4	6	35	115	108	114	101	60	51	27	21	17	4	6	3	3	2	2	2	0	1	0	0				
Netherlands	3	0	3	3	0	3	0	0	0	0	0	1	0	1	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	2	0	1	2	4	4	7	23	31	52	154	173	159	85	121	78	51	31	22	12	10	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	5	1	1	10	3	1	2	2	3	4	4	4	6	19	32	49	84	63	59	52	35	40	22	34	14	21	3	3	2	2	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	4	2	2	2	4	4	11	13	35	77	89	120	137	196	238	286	267	259	244	193	130	114	85	60	62	42	11	5	5	3	3	0	1	2	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	4	2	1	4	5	1	0	1	2	3	2	1	3	5	3	16	22	31	25	30	26	37	41	30	22	24	17	12	20	15	4	6	2	4	1	0	0	2	0	3	0	0	2	0	0	0	0	0	0	2	0	3	4	4	12	8	4	2	3	7	14	7		
New Caledonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	5	3	8	10	12	6	11	5	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	4	2	5	4	9	10	9	5	6	3	3	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	1	1	0	10	2	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	2	0	0	0	0	0	0	0	0	3	4	6	4	5	14	21	10	8	1	14	17	13	8	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	2	1	0	0	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0	0	2	14	6	6	3	6	3	6	0	3	5	2	0	2	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	3	8	7	19	20	6	13	1	2	0	0	1	1	1	0	1	1	1	1	0	1	1	5	4	9	19	37	40	16	13	4	3	2	1	6	2	1	1	3	6	5		
New Zealand	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	5	25	15	11	40	56	51	51	20	30	6	2	5																															1	4	1	6	5	13	21	28	41	38	69	76	84	66	72	90	92	70	66	91	71	63	57	43	24	7	8	2	3	3	0	0	2	0	1																		1	5	5	7	4	8	23	50	94	235	331	241	256	238	166	196	131	113	48	63	46																																8	6	8	4	14	15	11	22	21	26	22	73	104	63	105	136	87	206	188	194	219	193	161	112	95	58	34																										23	12	32	16	22	29	43	70	95	149	155	197	231	275	306	323	377	332	314	246	171														
Nicaragua	1	0	0	0	2	1	0	0	0	1	2	2	2	0	1	0	1	3	3	4	25	150	113	42	13	11	8	7	19	11	15	25	33	22	12	9	4	4	6	21	6	4	0	1	0	0	0	0	0	1	0	0	0	1	1	3	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	35	135	239	180	107	85	35	11	9	3	1	0	2	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	4	2	4	5	3	1	2	14	15	26	27	25	23	11	45	47	49	42	31	24	27	31	2	1	2	2	2	2	3	2	1	7	11	3	19	7	2	7	3	4	7	13	6	6	1	4	1	1	1	10	13	19	60	91	168	88	94	63	39	17	13	7	14	4	6	7	6	5	14	13	13	13	14	12	9	5	9	1	1	3	0	3	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	3	11	13	18	31	45	66	81	68	59	73	41	43	60	112	75	60	56	40	13	4	1	1				
Niger	0	0	2	4	3	6	5	11	8	7	10	7	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	10	8	8	5	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	2	2	0	0	1	1	1	0	1	1	2	2	3	2	5	5	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	4	1	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	5	0	4	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	2	0	1	0	2	1	2	1	2	0	1	0	1	5	3	5	4	1	1	0																																												
Nigeria	10	11	2	5	18	17	13	6	10	13	10	3	4	0	2	2	1	4	2	3	0	0	0	1	0	0	1	0	1	0	1	3	0	5	5	1	0	0	3	8		6	4	11	0	1	1	4	2	0	0	0	0	2	2	8	3	0	0	2	13	4	2	0	2	7	7	0	2	0	0	6	1	3	0	0	0	3	3	3	6	10	6	8	5	4	3	4	11	11	31	10	9	10	11	7	5	0	4	12	4	4	2	1	6	0	0	6	2	3	3	0	0	5	0	0	3	6	3	1	0	0	0	0	0	0	0	1	2	0	0	1	3	0	0	5	0	4	2	4	12	11	17	5	8	10	7	4	0	7	9	1	3	5	2	0	0	3	7	2	0	1	3	9	3	9	0	0	1	1	1	1	0	0	2	0	2	0	3	0	9	12	9	6	1	5	7	4	4	6	7	5	4	2	8	4	5	0	6	2	8	3	6	7	6	4	0		6	4	0	0	6	2	1	1	5	3	2	6	3	9	4	1	6	1	4	1	3	3	2	6	1	1	0	0	0	0	0	0	0	0	1	1	0	2	0	1	1	0	1	1	0	0						
Norway	11	3	2	1	2	1	0	7	1	0	2	6	2	3	5	7	6	4	9	6	16	9	3	4	0	0	1	0	0	4	0	0	1	0	0	0	0	0	1	2	1	1	2	2	0	1	10	21	33	110	173	214	500	508	620	565	465	354	271	217	161	109	67	38	41	37	13	2	5	2	2	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1	2	1	3	4	3	7	3	18	22	23	57	69	110	109	136	191	330	448	585	790	735	520	513	406	306	148	129	75	53	53	25	26	5	7	3	3	3	0	1	0	0	1	0	1	1	1	0	0	1	3	0	3	7	12	19	29	40	42	53	60	87	262	469	420	1360	1486	977	1028	1025	982	906	803	688	563	532	497	259	265	232	174	111	62	53	20	10	5	5	2	2	0	0	0	2	4	1	3	1	0	0	4	0	1	1	4	7	5	3	6	7	6	5	15	18	10	35	23	37	65	73	123	210	307	379	382	410	403	443	346	355	387	444	209	196	125	151	145	124	44	32	19	9	7	5	2	3	3	3	2	4	8	2	4	7	5	2	3	9	2	2	3	13	17	19	41	61	51		
Oman	66	23	28	34	51	38	25	14	3	3	12	4	4	3	29	1	2	1	1	5	0	0	0	1	2	0	5	3	1	5	17	4	7	12	20	16	8	10	4	8	9	24	10	6	18	1	22	28	19	19	32		35	37	48	40	57	25	17	22	19	19	22	25	15	4	13	0	4	1	1	0	4	1	1	7	1	3	5	5	19	12	14	4	5	5	2	4	3	5	9	4	5	7	19	14	1	4	3	5	3	7	6	22	15	13	8	4	14	11	7	2	5	9	4	3	10	2	3	10	4	6	6	1	4	2	4	2	10	3	0	0	4	0	2	1	0	0	0	1	1	0	0	0	2	4	5	0	5	5	17	8	15	30	5	16	4	5	13	6	7	9	2	4	5	5	1	2	5	2	4	0	0	1	1	1	0	1	0	1	4	1	5	7	4	1	5	0	13	1	2	1	0	2	1	0	3	1	5	5	2	6	4	3	0	17	9	4	3	18	11	13	2	9	12	8	16	38	58	29	43	39	32	27	48	41	44	45	51	22	38	15	18	14	7	16	17	25	14	21	7	10	8	6	14	6	4	8	6	11	6									
Pakistan	116	55	45	19	4	0	2	2	1	2	2	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	1	0	3	9	11	3	5	7	5	7	4	2	7	5	11	7	13	32	136	73	103	95	82	83	31	25	24	22	5	0	1	0	0	0	0	0	0	0	0	0	1	3	9	6	16	8	2	8	5	3	10	7	1	3	3	8	10	3	8	26	25	41	3	12	12	5	4	5	20	21	12	24	3	10	8	0	14	23	12	5	17	4	10	6	10	4	5	3	0	1	0	0	3	3	4	0	0	0	0	0	0	0	0	0	1	1	5	6	3	5	2	0	2	2	2	3	2	3	6	8	11	8	27	8	7	7	14	4	11	5	8	5	13	7	4	7	3	3	4	4	4	1	0	3	1	0	2	0	0	0	0	0	0	0	0	1	3	3	2	4	0	1	5	0	2	3	3	0	3	7	1	6	0	0	1	18	15	16	21	13	31	21	18	16	10	14	3	5	5	1	1	0	0	0	0	0	0																													
Panama	0	2	1	0	0	0	2	0	0	0	1	0	0	0	0	1	1	0	1	1	0	3	10	19	46	57	41	9	3	1	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	3	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	1	1	1	2	1	1	4	3	3	1	3	9	2	0	0	2	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	1	15	6	5	4	4	11	8	21	40	29	18	9	6	3	0	0	0	6	2	0	1	0	0	0	0	1	3	1	2	2	3	0	1	2	1	1	1	0	0	0	0	0	0	0	0	1	0	2	3	5	4	3	7	16	27	22	24	25	18	10	4	5	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	2	2	1	5	8	10	9	13	6	7	10	9	3	1	4	1	0	1	0	2	0	0	1	1	1	4	5	2	2	1	4					
Paraguay	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	4	2	5	9	3	3	6	6	13	11	9	4	12	16	12	13	20	19	14	24	34	39	52	63	49	45	60	67	65	87	62	43	28	10	5	3	3	2	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	2	2	1	0	0	0	0	0	0	1	0	1	1	0	0	9	5	6	2	3	1	6	22	3	1	3	0	0	1	2	1	0	2	3	2	2	0	2	0	0	7	9	11	20	38	51	64	62	83	51	44	36	18	25	14	8	4	5	11	3	6	3	13	12	6	7	9	5	3	4	4	7	7	17	16	18	47	30	24	9	10	3	4	3	4	4	4	0	1	3	2	5	1	0	3	4	11	16	29	61	96	166	151	109	74	62	30	21	27	16	16	19	11	18	24	22	13	17	23	15	7	7	6	10	2	4	8	4	3	1	3	0	3	2	0	0	0	0	2	2	2	0	0	2	5	3	5	1	2	8	17	29	34	43	45	63	34	16	40	24	46	32	29	12	9	6	15	5	2	4	4	9	8	5	6				
Peru	38	45	56	37	25	20	27	12	7	8	5	8	4	6	3	3	0	8	10	18	16	17	40	69	91	53	69	52	57	41	39	16	21	21	25	13	30	35	43	47	49	41	30	13	40	69	79	45	27	11	8	1	7	8	1	4	2	3	0	1	4	2	8	0	0	1	0	0	1	4	1	1	0	6	0	1	3	0	1	1	0	1	9	17	11	9	4	31	17	22	24	9	6	16	34	8	14	16	6	9	2	6	3	15	2	10	3	4	5	2	4	4	0	7	11	16	15	2	6	11	8	8	4	7	8	7	8	10	18	15	5	8	8	12	8	23	14	6	5	6	14	4	5	3	5	1	3	1	10	5	1	6	1	1	2	1	4	3	9	3	7	5	5	3	9	1	6	7	1	2	4	8	4	3	4	6	2	5	2	6	12	8	25	44	213	301	266	260	192	115	79	67	52	28	19	11	9	4	4	4	5	3	5	8	3	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	2	0	0	1	3	21	1	3	4	18	3	3	9	10	15	22	36	13	45	56	62	55	56	30	29	20	12	7	5	4	2	4	2	2	0				
